text,Power_Failure,Battery_Charging,Display_Visual,Audio_Sound,Overheating_Thermal,Connectivity_Signal,Water_Liquid_Damage,Mechanical_Motor,Input_Controls,Software_Error,Data_Storage,Sensor_Accuracy
My monitor won't turn on right after I plugged it in. Please help.,1,0,0,0,0,0,0,0,0,0,0,0
I noticed my tablet touch input fails.,0,0,0,0,0,0,0,0,1,0,0,0
Vacuum has been got wet and stopped working lately.,0,0,0,0,0,0,1,0,0,0,0,0
The camera buttons not registering since yesterday. Please help.,0,0,0,0,0,0,0,0,1,0,0,0
The printer shuts down due to heat.,0,0,0,0,1,0,0,0,0,0,0,0
Monitor heart rate incorrect.,0,0,0,0,0,0,0,0,0,0,0,1
I noticed my drone GPS wrong location after it fell. Please help.,0,0,0,0,0,0,0,0,0,0,0,1
"Thermostat battery indicator incorrect, and I noticed my thermostat network drops. I need this fixed.",0,1,0,0,0,1,0,0,0,0,0,0
Hard drive no cellular signal after it fell.,0,0,0,0,0,1,0,0,0,0,0,0
"My e-scooter touchscreen not responding, and I noticed my e-scooter microphone not working.",0,0,1,1,0,0,0,0,0,0,0,0
"My phone gets very hot, and I noticed my phone can't save files. I need this fixed.",0,0,0,0,1,0,0,0,0,0,1,0
Gaming console data disappeared.,0,0,0,0,0,0,0,0,0,0,1,0
"I noticed my camera disk making clicking noises, and Camera has been buttons not registering lately.",0,0,0,0,0,0,0,0,1,0,1,0
The hard drive mechanical grinding noise and it's getting worse every day.,0,0,0,0,0,0,0,1,0,0,0,0
Monitor has been double-press issue lately.,0,0,0,0,0,0,0,0,1,0,0,0
Speaker has been makes clicking noise lately and it's getting worse every day.,0,0,0,1,0,0,0,0,0,0,0,0
I noticed my camera screen is flickering.,0,0,1,0,0,0,0,0,0,0,0,0
"Hard drive has been dropped in water lately, and Hard drive has been fails to start lately.",1,0,0,0,0,0,1,0,0,0,0,0
Smartwatch double-press issue. Please help.,0,0,0,0,0,0,0,0,1,0,0,0
My router won't charge.,0,1,0,0,0,0,0,0,0,0,0,0
Tablet has been image is blurry lately.,0,0,1,0,0,0,0,0,0,0,0,0
I noticed my thermostat has no power.,1,0,0,0,0,0,0,0,0,0,0,0
My router won't boot after a recent update.,1,0,0,0,0,0,0,0,0,0,0,0
"I noticed my laptop no internet connection, and Laptop won't turn on.",1,0,0,0,0,1,0,0,0,0,0,0
The vacuum proximity sensor fails after it fell.,0,0,0,0,0,0,0,0,0,0,0,1
I noticed my e-scooter dropped in water since yesterday.,0,0,0,0,0,0,1,0,0,0,0,0
My speaker can't find networks.,0,0,0,0,0,1,0,0,0,0,0,0
